Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
R2;28;BEJAIA 10;BEJAIA;0,496;0,183;0,313
R2;29;ILLIZI 01;ILLIZI;0,47;0,159;0,311
R2;30;TIARET 12;TIARET;0,437;0,132;0,305
R2;31;EL OUED 03;EL OUED;0,441;0,143;0,297
R2;32;OUM EL BOUAGHI 02;OUM EL BOUAGHI;0,442;0,151;0,292
R2;33;JIJEL 08;JIJEL;0,436;0,144;0,291
R2;34;MASCARA 06;MASCARA;0,485;0,196;0,289
R2;35;BOUIRA 11;BOUIRA;0,441;0,152;0,289
R2;36;MSILA 11;MSILA;0,424;0,136;0,288
R2;37;TIARET 09;TIARET;0,469;0,181;0,288
R2;38;ALGER OUEST 19;ALGER OUEST;0,418;0,132;0,286
R2;39;TIPAZA 17;TIPAZA;0,53;0,246;0,285
R2;40;BLIDA 01;BLIDA;0,465;0,181;0,284
R2;41;DJELFA 05;DJELFA;0,493;0,212;0,281
R2;42;ALGER OUEST 25;ALGER OUEST;0,497;0,218;0,28
R2;43;BATNA 03;BATNA;0,529;0,252;0,277
R2;44;ALGER OUEST 26;ALGER OUEST;0,457;0,18;0,277
R2;45;TEBESSA 17;TEBESSA;0,477;0,201;0,275
R2;46;BLIDA 24;BLIDA;0,459;0,184;0,274
R2;47;ORAN 27;ORAN;0,43;0,156;0,274
R2;48;SETIF 01;SETIF;0,443;0,179;0,265
R2;49;RELIZANE 08;RELIZANE;0,401;0,137;0,264
R2;50;SIDI BEL ABBES 03;SIDI BEL ABBES;0,397;0,137;0,261
R2;51;BOUIRA 10;BOUIRA;0,443;0,188;0,256
R2;52;BOUMERDES 02;BOUMERDES;0,405;0,153;0,252
R2;53;BLIDA 10;BLIDA;0,449;0,2;0,249
R2;54;SKIKDA 19;SKIKDA;0,445;0,198;0,247
R2;55;CONSTANTINE 18;CONSTANTINE;0,452;0,21;0,242
R2;56;RELIZANE 05;RELIZANE;0,523;0,281;0,241
R2;57;SETIF 13;SETIF;0,472;0,231;0,241
R2;58;AIN DEFLA 01;AIN DEFLA;0,406;0,168;0,239
R2;59;BEJAIA 15;BEJAIA;0,393;0,158;0,235
R2;60;ALGER EST 40;ALGER EST;0,446;0,212;0,234
R2;61;TOUGGOURT 04;TOUGGOURT;0,421;0,188;0,232
R2;62;RELIZANE 15;RELIZANE;0,404;0,174;0,231
R2;63;BLIDA 21;BLIDA;0,49;0,261;0,229
R2;64;BLIDA 04;BLIDA;0,402;0,174;0,228
R2;65;TIPAZA 09;TIPAZA;0,412;0,184;0,227
R2;66;SETIF 07;SETIF;0,453;0,23;0,223
R2;67;ORAN 42;ORAN;0,403;0,181;0,223
R2;68;MOSTAGANEM 18;MOSTAGANEM;0,477;0,257;0,219
R2;69;KHENCHELA 14;KHENCHELA;0,421;0,202;0,219
R2;70;MEDEA 04;MEDEA;0,371;0,157;0,214
R2;71;ORAN 04;ORAN;0,413;0,199;0,214
R2;72;TEBESSA 11;TEBESSA;0,398;0,186;0,211
R2;73;SKIKDA 30;SKIKDA;0,465;0,254;0,211
R2;74;EL OUED 01;EL OUED;0,444;0,235;0,209
R2;75;BORDJ BOUARRERIDJ 07;BORDJ BOUARRERIDJ;0,386;0,178;0,209
R2;76;SKIKDA 02;SKIKDA;0,38;0,172;0,208
R2;77;EL TARF 12;EL TARF;0,483;0,276;0,207
R2;78;BOUIRA 14;BOUIRA;0,375;0,169;0,206
R2;79;EL TARF 13;EL TARF;0,411;0,207;0,204
R2;80;TEBESSA 05;TEBESSA;0,469;0,265;0,204
R2;81;BISKRA 05;BISKRA;0,401;0,197;0,203
R2;82;EL TARF 01;EL TARF;0,365;0,164;0,202
R2;83;SETIF 05;SETIF;0,401;0,2;0,201
R2;84;CHLEF 04;CHLEF;0,383;0,183;0,2
R2;85;TIARET 19;TIARET;0,414;0,216;0,199
R2;86;AIN DEFLA 07;AIN DEFLA;0,358;0,167;0,191
R2;87;SOUK AHRAS 15;SOUK AHRAS;0,44;0,25;0,189
R2;88;ALGER CENTRE 31;ALGER CENTRE;0,472;0,283;0,189
R2;89;TIPAZA 01;TIPAZA;0,378;0,191;0,187
R2;90;TIARET 05;TIARET;0,362;0,176;0,187
R2;91;GUELMA 13;GUELMA;0,371;0,186;0,185
R2;92;TLEMCEN 09;TLEMCEN;0,427;0,246;0,181
