Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
R1;Agency_464;UPW_038;1,0;10;0,092;64;54;Performantes sur les deux dimensions
R1;Agency_746;UPW_025;0,994;12;0,412;8;4;Performantes sur les deux dimensions
R1;Agency_653;UPW_013;0,987;13;0,105;57;44;Performantes sur les deux dimensions
R1;Agency_174;UPW_010;0,983;14;0,365;10;4;Performantes sur les deux dimensions
R1;Agency_719;UPW_038;0,975;15;0,263;17;2;Performantes sur les deux dimensions
R1;Agency_257;UPW_025;0,943;17;0,453;4;13;Performantes sur les deux dimensions
R1;Agency_626;UPW_016;0,941;18;0,433;5;13;Performantes sur les deux dimensions
R1;Agency_504;UPW_015;0,922;19;0,142;47;28;Performantes sur les deux dimensions
R1;Agency_478;UPW_045;0,913;20;0,125;50;30;Performantes sur les deux dimensions
R1;Agency_590;UPW_016;0,886;21;0,026;81;60;Performantes sur les deux dimensions
R1;Agency_264;UPW_043;0,883;22;0,297;14;8;Performantes sur les deux dimensions
R1;Agency_345;UPW_045;0,846;23;0,511;1;22;Performantes sur les deux dimensions
R1;Agency_411;UPW_043;0,835;24;0,063;72;48;Performantes sur les deux dimensions
R1;Agency_341;UPW_022;0,825;25;0,343;11;14;Performantes sur les deux dimensions
R1;Agency_046;UPW_043;0,802;27;0,189;35;8;Performantes sur les deux dimensions
R1;Agency_160;UPW_014;0,795;29;0,319;12;17;Performantes sur les deux dimensions
R1;Agency_532;UPW_019;0,747;31;0,193;32;1;Performantes sur les deux dimensions
R1;Agency_410;UPW_043;0,747;32;0,094;62;30;Performantes sur les deux dimensions
R1;Agency_135;UPW_005;0,747;33;0,078;66;33;Performantes sur les deux dimensions
R1;Agency_068;UPW_043;0,746;34;0,02;84;50;Performantes sur les deux dimensions
R1;Agency_500;UPW_008;0,739;35;0,163;42;7;Performantes sur les deux dimensions
R1;Agency_645;UPW_037;0,732;36;0,092;63;27;Performantes sur les deux dimensions
R1;Agency_606;UPW_054;0,729;38;0,117;52;14;Performantes sur les deux dimensions
R1;Agency_784;UPW_041;0,725;40;0,253;20;20;Performantes sur les deux dimensions
R1;Agency_386;UPW_023;0,719;42;0,217;25;17;Performantes sur les deux dimensions
R1;Agency_667;UPW_019;0,718;43;0,032;78;35;Performantes sur les deux dimensions
R1;Agency_075;UPW_005;0,711;45;0,164;41;4;Performantes sur les deux dimensions
R1;Agency_616;UPW_031;0,708;46;0,277;15;31;Performantes sur les deux dimensions
R1;Agency_292;UPW_006;0,69;49;0,261;19;30;Performantes sur les deux dimensions
R1;Agency_365;UPW_016;0,688;50;0,212;27;23;Performantes sur les deux dimensions
R1;Agency_103;UPW_006;0,684;51;0,137;48;3;Performantes sur les deux dimensions
R1;Agency_097;UPW_005;0,675;54;0,012;87;33;Performantes sur les deux dimensions
R1;Agency_323;UPW_017;0,672;56;-0,002;92;36;Performantes sur les deux dimensions
R1;Agency_150;UPW_008;0,664;58;0,175;39;19;Performantes sur les deux dimensions
R1;Agency_139;UPW_005;0,659;60;0,067;71;11;Performantes sur les deux dimensions
R1;Agency_469;UPW_034;0,657;61;0,262;18;43;Performantes sur les deux dimensions
R1;Agency_530;UPW_005;0,655;63;0,041;76;13;Performantes sur les deux dimensions
R1;Agency_698;UPW_005;0,65;64;0,109;55;9;Performantes sur les deux dimensions
R1;Agency_349;UPW_018;0,649;65;0,173;40;25;Performantes sur les deux dimensions
R1;Agency_026;UPW_043;0,646;66;0,142;46;20;Performantes sur les deux dimensions
R1;Agency_081;UPW_008;0,641;68;0,199;31;37;Performantes sur les deux dimensions
R1;Agency_344;UPW_049;0,641;69;0,188;36;33;Performantes sur les deux dimensions
R1;Agency_731;UPW_013;0,636;70;0,19;34;36;Performantes sur les deux dimensions
R1;Agency_471;UPW_016;0,628;74;0,246;21;53;Performantes sur les deux dimensions
R1;Agency_874;UPW_015;0,627;75;0,017;85;10;Performantes sur les deux dimensions
R1;Agency_233;UPW_006;0,625;76;0,067;70;6;Performantes sur les deux dimensions
R1;Agency_828;UPW_036;0,624;77;0,227;24;53;Performantes sur les deux dimensions
R1;Agency_638;UPW_032;0,619;81;0,043;75;6;Performantes sur les deux dimensions
R1;Agency_473;UPW_049;0,603;85;0,003;90;5;Performantes sur les deux dimensions
R1;Agency_076;UPW_035;0,598;88;0,201;29;59;Performantes sur les deux dimensions
R1;Agency_308;UPW_034;0,598;89;0,313;13;76;Performantes sur les deux dimensions
R1;Agency_818;UPW_044;0,592;92;0,121;51;41;Performantes sur les deux dimensions
R2;Agency_043;UPW_036;1,0;14;0,0;221;207;Efficientes mais faibles sur le plan multicritère
R2;Agency_010;UPW_044;0,925;26;-0,022;233;207;Efficientes mais faibles sur le plan multicritère
R2;Agency_290;UPW_038;0,826;44;-0,11;304;260;Efficientes mais faibles sur le plan multicritère
R2;Agency_281;UPW_048;0,821;45;-0,283;404;359;Efficientes mais faibles sur le plan multicritère
R2;Agency_519;UPW_016;0,807;52;-0,19;355;303;Efficientes mais faibles sur le plan multicritère
