Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
HC;Agency_090;UPW_004;0,421;54;-0,118;44;10;Faibles sur les deux approches
HC;Agency_094;UPW_004;0,404;55;-0,096;40;15;Faibles sur les deux approches
HC;Agency_736;UPW_017;0,39;56;-0,177;51;5;Faibles sur les deux approches
HC;Agency_351;UPW_018;0,388;57;-0,062;37;20;Faibles sur les deux approches
HC;Agency_226;UPW_038;0,384;58;-0,174;50;8;Faibles sur les deux approches
HC;Agency_313;UPW_006;0,366;59;-0,266;55;4;Faibles sur les deux approches
HC;Agency_059;UPW_040;0,337;60;-0,234;54;6;Faibles sur les deux approches
HC;Agency_608;UPW_033;0,258;61;-0,118;43;18;Faibles sur les deux approches
HC;Agency_273;UPW_034;1,0;1;0,425;1;0;Performantes sur les deux dimensions
HC;Agency_420;UPW_045;1,0;2;0,364;2;0;Performantes sur les deux dimensions
HC;Agency_262;UPW_013;1,0;3;0,353;3;0;Performantes sur les deux dimensions
HC;Agency_232;UPW_004;1,0;4;0,297;6;2;Performantes sur les deux dimensions
HC;Agency_538;UPW_039;1,0;5;0,272;7;2;Performantes sur les deux dimensions
HC;Agency_780;UPW_005;1,0;6;0,211;10;4;Performantes sur les deux dimensions
HC;Agency_696;UPW_032;1,0;7;0,165;14;7;Performantes sur les deux dimensions
HC;Agency_750;UPW_033;0,986;8;0,142;18;10;Performantes sur les deux dimensions
HC;Agency_714;UPW_038;0,977;9;0,03;26;17;Performantes sur les deux dimensions
HC;Agency_673;UPW_002;0,975;10;0,312;5;5;Performantes sur les deux dimensions
HC;Agency_382;UPW_054;0,959;11;0,156;15;4;Performantes sur les deux dimensions
HC;Agency_388;UPW_005;0,945;12;0,337;4;8;Performantes sur les deux dimensions
HC;Agency_114;UPW_007;0,895;13;0,198;11;2;Performantes sur les deux dimensions
HC;Agency_005;UPW_017;0,842;14;0,048;24;10;Performantes sur les deux dimensions
HC;Agency_629;UPW_055;0,84;15;0,103;20;5;Performantes sur les deux dimensions
HC;Agency_776;UPW_014;0,822;16;0,18;12;4;Performantes sur les deux dimensions
HC;Agency_253;UPW_052;0,801;19;0,128;19;0;Performantes sur les deux dimensions
HC;Agency_404;UPW_020;0,794;21;0,172;13;8;Performantes sur les deux dimensions
HC;Agency_109;UPW_004;0,741;23;0,012;28;5;Performantes sur les deux dimensions
HC;Agency_230;UPW_004;0,738;24;-0,021;31;7;Performantes sur les deux dimensions
HC;Agency_619;UPW_031;0,721;26;0,233;8;18;Performantes sur les deux dimensions
HC;Agency_370;UPW_021;0,708;27;0,219;9;18;Performantes sur les deux dimensions
HC;Agency_933;UPW_054;0,705;28;0,148;17;11;Performantes sur les deux dimensions
HC;Agency_014;UPW_031;0,701;29;0,0;29;0;Performantes sur les deux dimensions
HC;Agency_910;UPW_017;0,681;31;-0,014;30;1;Performantes sur les deux dimensions
R1;Agency_884;UPW_054;1,0;11;-0,026;99;88;Efficientes mais faibles sur le plan multicritère
R1;Agency_316;UPW_048;0,974;16;-0,226;156;140;Efficientes mais faibles sur le plan multicritère
R1;Agency_067;UPW_043;0,813;26;-0,158;140;114;Efficientes mais faibles sur le plan multicritère
R1;Agency_835;UPW_044;0,796;28;-0,005;93;65;Efficientes mais faibles sur le plan multicritère
R1;Agency_125;UPW_038;0,757;30;-0,256;166;136;Efficientes mais faibles sur le plan multicritère
R1;Agency_905;UPW_048;0,732;37;-0,124;130;93;Efficientes mais faibles sur le plan multicritère
R1;Agency_422;UPW_043;0,725;39;-0,036;102;63;Efficientes mais faibles sur le plan multicritère
R1;Agency_716;UPW_038;0,72;41;-0,058;109;68;Efficientes mais faibles sur le plan multicritère
R1;Agency_024;UPW_043;0,715;44;-0,125;132;88;Efficientes mais faibles sur le plan multicritère
R1;Agency_749;UPW_048;0,708;47;-0,112;128;81;Efficientes mais faibles sur le plan multicritère
R1;Agency_711;UPW_038;0,699;48;-0,108;127;79;Efficientes mais faibles sur le plan multicritère
R1;Agency_223;UPW_048;0,681;52;-0,252;163;111;Efficientes mais faibles sur le plan multicritère
R1;Agency_006;UPW_038;0,678;53;-0,124;131;78;Efficientes mais faibles sur le plan multicritère
R1;Agency_049;UPW_038;0,672;55;-0,067;112;57;Efficientes mais faibles sur le plan multicritère
R1;Agency_250;UPW_016;0,67;57;-0,27;167;110;Efficientes mais faibles sur le plan multicritère
R1;Agency_922;UPW_032;0,663;59;-0,07;113;54;Efficientes mais faibles sur le plan multicritère
R1;Agency_678;UPW_032;0,655;62;-0,1;122;60;Efficientes mais faibles sur le plan multicritère
R1;Agency_393;UPW_013;0,644;67;-0,012;96;29;Efficientes mais faibles sur le plan multicritère
R1;Agency_106;UPW_004;0,634;71;-0,007;95;24;Efficientes mais faibles sur le plan multicritère
R1;Agency_287;UPW_005;0,628;72;-0,137;136;64;Efficientes mais faibles sur le plan multicritère
R1;Agency_371;UPW_019;0,628;73;-0,029;101;28;Efficientes mais faibles sur le plan multicritère
R1;Agency_072;UPW_037;0,622;78;-0,133;134;56;Efficientes mais faibles sur le plan multicritère
R1;Agency_247;UPW_005;0,621;79;-0,106;126;47;Efficientes mais faibles sur le plan multicritère
